model_name,total_pnl,leap_pnl,overwrite_pnl,total_return_pct,max_drawdown,worst_day_pnl,worst_trade_pnl,average_daily_pnl,median_daily_pnl,volatility_of_daily_pnl,sharpe_like_score,number_of_overwrites,overwrite_win_rate,average_overwrite_pnl,median_overwrite_pnl,premium_collected,premium_retained_pct,average_premium_collected,average_premium_lost_on_loss_exit,number_profit_exits,number_loss_exits,number_underlying_touch_exits,number_expirations,average_holding_days,tail_loss_1pct,tail_loss_5pct,catastrophic_trade_count,average_loss_when_model_missed_risk,dollar_missed_risk_score,leap_exposure_avg,leap_exposure_days_full,leap_exposure_days_reduced,leap_exit_profit_count,leap_exit_stop_count,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,4074.55,4074.55,0.0,0.0,-4158.95,-1465.5,-2138.72,54.33,92.25,481.62,0.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-1032.04,-785.2,2,0.0,0.0,0.92,69,6,4,2,587.98,1936.0
always_overwrite_baseline,-857.47,4074.55,-4932.04,0.0,-3502.11,-1330.38,-2138.72,-11.43,46.0,339.75,-0.03,68,0.7205882352941176,32.54,161.64,12174.0,0.72,179.03,0.0,8,0,19,41,0.0,-879.63,-584.35,18,0.0,0.0,0.92,69,6,4,2,587.98,1936.0
hmm_v4_path_aware_meta,-857.47,4074.55,-4932.04,0.0,-3502.11,-1330.38,-2138.72,-11.43,46.0,339.75,-0.03,68,0.7205882352941176,32.54,161.64,12174.0,0.72,179.03,0.0,8,0,19,41,0.0,-879.63,-584.35,18,-343.06,-6518.08,0.92,69,6,4,2,587.98,1936.0
heuristic_policy,-1922.47,3441.02,-5363.54,0.0,-2459.72,-1465.5,-2185.46,-25.63,26.75,263.41,-0.1,59,0.6949152542372882,6.23,164.83,10943.0,0.69,185.47,0.0,7,0,18,34,0.0,-753.53,-400.92,17,-401.81,-7232.65,0.76,14,61,3,1,4020.7,5858.91
hmm_v3_1_meta_blend,-3965.78,3186.02,-7151.83,0.0,-3986.46,-1330.38,-1175.41,-52.88,2.71,271.2,-0.19,73,0.684931506849315,3.55,160.72,13145.0,0.68,180.07,0.0,8,0,23,42,0.0,-1215.7,-361.47,20,-378.44,-8704.15,0.67,34,41,1,0,6581.54,8772.26
