model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
no_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61,100,-2138.72,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-02,2026-04-07,100.0,120.22,100,2022.0,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-08,2026-04-14,100.0,120.38,100,2037.75,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-15,2026-04-27,100.0,120.88,100,2088.0,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-28,2026-05-14,100.0,121.28,100,2127.75,leap_profit_exit,,,,,,,,,,,
always_overwrite_baseline,SHORT_CALL,2026-03-02,2026-03-03,1.63,0.0,100,162.69,expiration,692.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,19.86,104.15,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-03,2026-03-04,1.76,0.0,100,176.05,expiration,689.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,21.44,110.89,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-04,2026-03-05,1.9,0.0,100,190.14,expiration,690.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.57,113.44,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-05,2026-03-06,1.8,4.21,100,-241.31,underlying_touch,683.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,21.15,116.02,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-06,2026-03-09,2.15,0.0,100,215.28,expiration,688.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.75,106.94,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-09,2026-03-10,2.45,0.38,100,206.24,profit_exit,686.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,29.49,115.93,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-10,2026-03-11,2.13,4.45,100,-232.56,underlying_touch,676.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,25.5,140.44,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-11,2026-03-12,2.04,0.0,100,203.55,expiration,682.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,24.93,122.6,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-12,2026-03-13,2.21,0.0,100,220.68,expiration,680.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,24.23,125.36,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-13,2026-03-16,2.4,0.45,100,194.74,profit_exit,680.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,27.29,122.49,0.0,0.0
always_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.8,100,-2020.23,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,SHORT_CALL,2026-03-16,2026-03-17,2.25,0.0,100,224.75,expiration,670.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,27.19,130.18,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-18,2026-03-19,1.84,0.0,100,184.36,expiration,672.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.37,116.78,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-19,2026-03-20,2.18,0.35,100,183.06,profit_exit,674.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,25.09,110.55,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-20,2026-03-23,1.88,0.0,100,187.89,expiration,665.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,24.06,126.5,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-23,2026-03-24,2.08,0.37,100,170.52,profit_exit,664.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,26.78,118.09,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-24,2026-03-25,2.1,5.16,100,-305.64,underlying_touch,654.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,26.15,126.28,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-25,2026-03-26,2.2,0.0,100,220.0,expiration,661.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,26.95,122.82,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-26,2026-03-27,2.2,0.0,100,219.85,expiration,658.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,25.33,124.14,0.0,0.0
