model_name,entry_date,exit_date,predicted_regime,brace_for_impact_score,total_trade_pnl,safer_reference_trade_pnl,dollar_missed_risk
heuristic_policy,2026-03-05,2026-03-06,STABLE_LOW_VOL_TREND,0.45,-241.30655105731478,0.0,-241.30655105731478
heuristic_policy,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.45,-232.5573789201684,0.0,-232.5573789201684
heuristic_policy,2026-03-17,2026-03-18,STABLE_LOW_VOL_TREND,0.45,-288.60750465158276,0.0,-288.60750465158276
heuristic_policy,2026-04-01,2026-04-02,MID_VOL_CHOP,0.45,-1175.4109713371633,0.0,-1175.4109713371633
heuristic_policy,2026-04-02,2026-04-03,STABLE_LOW_VOL_TREND,0.45,-193.41182462773645,0.0,-193.41182462773645
heuristic_policy,2026-04-08,2026-04-09,MID_VOL_CHOP,0.45,-1065.8394509179345,0.0,-1065.8394509179345
heuristic_policy,2026-04-13,2026-04-14,MID_VOL_CHOP,0.45,-282.71386536897865,0.0,-282.71386536897865
heuristic_policy,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.45,-249.80562246834666,0.0,-249.80562246834666
heuristic_policy,2026-04-17,2026-04-20,MID_VOL_CHOP,0.45,-443.16769579903905,0.0,-443.16769579903905
heuristic_policy,2026-04-22,2026-04-23,STABLE_LOW_VOL_TREND,0.45,-352.9114318922666,0.0,-352.9114318922666
heuristic_policy,2026-04-24,2026-04-27,MID_VOL_CHOP,0.45,-217.47270957427816,0.0,-217.47270957427816
heuristic_policy,2026-05-05,2026-05-06,MID_VOL_CHOP,0.45,-257.853384347942,0.0,-257.853384347942
heuristic_policy,2026-05-06,2026-05-07,STABLE_LOW_VOL_TREND,0.45,-538.1189473231899,0.0,-538.1189473231899
heuristic_policy,2026-05-08,2026-05-11,MID_VOL_CHOP,0.45,-283.64039898707745,0.0,-283.64039898707745
heuristic_policy,2026-05-13,2026-05-14,MID_VOL_CHOP,0.45,-161.94996682507394,0.0,-161.94996682507394
heuristic_policy,2026-05-14,2026-05-15,STABLE_LOW_VOL_TREND,0.45,-294.011574012913,0.0,-294.011574012913
heuristic_policy,2026-05-20,2026-05-21,STABLE_LOW_VOL_TREND,0.45,-347.63776080351363,0.0,-347.63776080351363
heuristic_policy,2026-06-10,2026-06-11,STABLE_LOW_VOL_TREND,0.45,-606.2327327228104,0.0,-606.2327327228104
hmm_v3_1_meta_blend,2026-03-05,2026-03-06,VOL_EXPANSION_TRANSITION,0.602973,-241.30655105731478,0.0,-241.30655105731478
hmm_v3_1_meta_blend,2026-03-10,2026-03-11,VOL_EXPANSION_TRANSITION,0.898666,-232.5573789201684,0.0,-232.5573789201684
hmm_v3_1_meta_blend,2026-03-17,2026-03-18,VOL_EXPANSION_TRANSITION,0.883808,-288.60750465158276,0.0,-288.60750465158276
hmm_v3_1_meta_blend,2026-03-24,2026-03-25,VOL_EXPANSION_TRANSITION,0.745922,-305.63569533153156,0.0,-305.63569533153156
hmm_v3_1_meta_blend,2026-04-01,2026-04-02,HIGH_VOL_RISK_OFF,0.933198,-1175.4109713371633,0.0,-1175.4109713371633
hmm_v3_1_meta_blend,2026-04-02,2026-04-03,HIGH_VOL_RISK_OFF,0.942633,-193.41182462773645,0.0,-193.41182462773645
hmm_v3_1_meta_blend,2026-04-08,2026-04-09,HIGH_VOL_RISK_OFF,0.931128,-1065.8394509179345,0.0,-1065.8394509179345
hmm_v3_1_meta_blend,2026-04-13,2026-04-14,MID_VOL_CHOP,0.348489,-282.71386536897865,0.0,-282.71386536897865
hmm_v3_1_meta_blend,2026-04-14,2026-04-15,MID_VOL_CHOP,0.344108,-428.04133727331646,0.0,-428.04133727331646
hmm_v3_1_meta_blend,2026-04-15,2026-04-16,MID_VOL_CHOP,0.330361,-249.80562246834666,0.0,-249.80562246834666
hmm_v3_1_meta_blend,2026-04-17,2026-04-20,MID_VOL_CHOP,0.29086,-443.16769579903905,0.0,-443.16769579903905
hmm_v3_1_meta_blend,2026-04-22,2026-04-23,STABLE_LOW_VOL_TREND,0.08997,-352.9114318922666,0.0,-352.9114318922666
hmm_v3_1_meta_blend,2026-04-24,2026-04-27,MID_VOL_CHOP,0.255188,-217.47270957427816,0.0,-217.47270957427816
hmm_v3_1_meta_blend,2026-04-30,2026-05-01,MID_VOL_CHOP,0.194726,-361.2516886674143,0.0,-361.2516886674143
hmm_v3_1_meta_blend,2026-05-05,2026-05-06,MID_VOL_CHOP,0.264437,-257.853384347942,0.0,-257.853384347942
hmm_v3_1_meta_blend,2026-05-06,2026-05-07,MID_VOL_CHOP,0.271616,-538.1189473231899,0.0,-538.1189473231899
hmm_v3_1_meta_blend,2026-05-08,2026-05-11,MID_VOL_CHOP,0.16001,-283.64039898707745,0.0,-283.64039898707745
hmm_v3_1_meta_blend,2026-05-13,2026-05-14,STABLE_LOW_VOL_TREND,0.05784,-161.94996682507394,0.0,-161.94996682507394
hmm_v3_1_meta_blend,2026-05-14,2026-05-15,MID_VOL_CHOP,0.152673,-294.011574012913,0.0,-294.011574012913
hmm_v3_1_meta_blend,2026-05-20,2026-05-21,MID_VOL_CHOP,0.146307,-347.63776080351363,0.0,-347.63776080351363
hmm_v3_1_meta_blend,2026-05-25,2026-05-26,MID_VOL_CHOP,0.187786,-210.01748328840506,0.0,-210.01748328840506
hmm_v3_1_meta_blend,2026-05-27,2026-05-28,STABLE_LOW_VOL_TREND,0.063986,-166.55250336167455,0.0,-166.55250336167455
hmm_v3_1_meta_blend,2026-06-10,2026-06-11,VOL_EXPANSION_TRANSITION,0.652757,-606.2327327228104,0.0,-606.2327327228104
hmm_v4_path_aware_meta,2026-03-05,2026-03-06,STABLE_LOW_VOL_TREND,0.033895,-241.30655105731478,0.0,-241.30655105731478
hmm_v4_path_aware_meta,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.033895,-232.5573789201684,0.0,-232.5573789201684
hmm_v4_path_aware_meta,2026-03-24,2026-03-25,STABLE_LOW_VOL_TREND,0.033895,-305.63569533153156,0.0,-305.63569533153156
hmm_v4_path_aware_meta,2026-04-02,2026-04-03,STABLE_LOW_VOL_TREND,0.033895,-193.41182462773645,0.0,-193.41182462773645
hmm_v4_path_aware_meta,2026-04-08,2026-04-09,STABLE_LOW_VOL_TREND,0.033895,-1065.8394509179345,0.0,-1065.8394509179345
hmm_v4_path_aware_meta,2026-04-13,2026-04-14,STABLE_LOW_VOL_TREND,0.033895,-282.71386536897865,0.0,-282.71386536897865
hmm_v4_path_aware_meta,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.033895,-249.80562246834666,0.0,-249.80562246834666
hmm_v4_path_aware_meta,2026-04-17,2026-04-20,STABLE_LOW_VOL_TREND,0.033895,-443.16769579903905,0.0,-443.16769579903905
hmm_v4_path_aware_meta,2026-04-22,2026-04-23,STABLE_LOW_VOL_TREND,0.033895,-352.9114318922666,0.0,-352.9114318922666
hmm_v4_path_aware_meta,2026-04-24,2026-04-27,STABLE_LOW_VOL_TREND,0.033895,-217.47270957427816,0.0,-217.47270957427816
hmm_v4_path_aware_meta,2026-04-30,2026-05-01,STABLE_LOW_VOL_TREND,0.033895,-361.2516886674143,0.0,-361.2516886674143
hmm_v4_path_aware_meta,2026-05-05,2026-05-06,STABLE_LOW_VOL_TREND,0.033895,-257.853384347942,0.0,-257.853384347942
hmm_v4_path_aware_meta,2026-05-06,2026-05-07,STABLE_LOW_VOL_TREND,0.033895,-538.1189473231899,0.0,-538.1189473231899
