model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
no_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.79769897460938,100,-2020.2301025390625,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61282348632812,100,-2138.7176513671875,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-02,2026-04-07,100.0,120.22001647949219,100,2022.0016479492188,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-08,2026-04-14,100.0,120.37748718261719,100,2037.7487182617188,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-15,2026-04-27,100.0,120.88002014160156,100,2088.0020141601562,leap_profit_exit,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-04-28,2026-05-14,100.0,121.27749633789062,100,2127.7496337890625,leap_profit_exit,,,,,,,,,,,
always_overwrite_baseline,SHORT_CALL,2026-03-02,2026-03-03,1.6269490927122376,0.0,100,162.69490927122376,expiration,692.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,19.860000610351562,104.1500015258789,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-03,2026-03-04,1.7604890272007196,0.0,100,176.04890272007196,expiration,689.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,21.440000534057617,110.88999938964844,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-04,2026-03-05,1.901372389963882,0.0,100,190.1372389963882,expiration,690.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.56999969482422,113.44000244140625,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-05,2026-03-06,1.797595254817196,4.210660765390344,100,-241.30655105731478,underlying_touch,683.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,21.149999618530273,116.0199966430664,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-06,2026-03-09,2.152792984934621,0.0,100,215.27929849346208,expiration,688.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.75,106.94000244140625,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-09,2026-03-10,2.44615935562922,0.38373405988805587,100,206.24252957411642,profit_exit,686.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,29.489999771118164,115.93000030517578,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-10,2026-03-11,2.1256750260897945,4.451248815291478,100,-232.5573789201684,underlying_touch,676.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,25.5,140.44000244140625,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-11,2026-03-12,2.0354703245685926,0.0,100,203.54703245685926,expiration,682.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,24.93000030517578,122.5999984741211,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-12,2026-03-13,2.206841930138097,0.0,100,220.6841930138097,expiration,680.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,24.229999542236328,125.36000061035156,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-13,2026-03-16,2.3996532807292397,0.45220728269307386,100,194.74459980361658,profit_exit,680.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,27.290000915527344,122.48999786376953,0.0,0.0
always_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.79769897460938,100,-2020.2301025390625,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,SHORT_CALL,2026-03-16,2026-03-17,2.2474884408201774,0.0,100,224.74884408201774,expiration,670.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,27.190000534057617,130.17999267578125,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-18,2026-03-19,1.8435701225053833,0.0,100,184.35701225053833,expiration,672.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.3700008392334,116.77999877929688,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-19,2026-03-20,2.183490023608556,0.35291935796235663,100,183.05706656461993,profit_exit,674.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,25.09000015258789,110.55000305175781,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-20,2026-03-23,1.8789461014813469,0.0,100,187.8946101481347,expiration,665.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,24.059999465942383,126.5,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-23,2026-03-24,2.078283353696463,0.3731259112668823,100,170.51574424295808,profit_exit,664.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,26.780000686645508,118.08999633789062,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-24,2026-03-25,2.1018129932533327,5.158169946568648,100,-305.63569533153156,underlying_touch,654.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,26.149999618530273,126.27999877929688,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-25,2026-03-26,2.199954786100591,0.0,100,219.99547861005908,expiration,661.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,26.950000762939453,122.81999969482422,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-26,2026-03-27,2.198547688207725,0.0,100,219.8547688207725,expiration,658.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,25.329999923706055,124.13999938964844,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-27,2026-03-30,2.4188387220933407,0.0,100,241.88387220933407,expiration,662.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,27.440000534057617,119.37000274658203,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-03-30,2026-03-31,2.641621780055459,0.4905345301774702,100,215.1087249877989,profit_exit,651.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,2.5,31.049999237060547,124.43000030517578,0.0,0.0
always_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61282348632812,100,-2138.7176513671875,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,SHORT_CALL,2026-03-31,2026-04-01,2.5019303498459635,0.0,100,250.19303498459635,expiration,640.0,1.0,HIGH_VOL_RISK_OFF,0.45,1.0,normal,2.5,30.610000610351562,133.17999267578125,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-04-02,2026-04-03,2.116920357403899,4.051038603681263,100,-193.41182462773645,underlying_touch,655.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,24.540000915527344,116.05000305175781,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-04-03,2026-04-06,2.013287736291261,0.0,100,201.3287736291261,expiration,660.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,23.8700008392334,114.83000183105469,0.0,0.0
always_overwrite_baseline,LEAP,2026-04-02,2026-04-07,100.0,120.22001647949219,100,2022.0016479492188,leap_profit_exit,,,,,,,,,,,
