model_name,instrument_type,exit_reason,trade_count,dollar_pnl
always_overwrite_baseline,LEAP,leap_profit_exit,4,8275.502014160156
always_overwrite_baseline,LEAP,leap_stop_loss,2,-4158.94775390625
always_overwrite_baseline,SHORT_CALL,expiration,41,7334.670954147196
always_overwrite_baseline,SHORT_CALL,underlying_touch,19,-6518.077092284696
always_overwrite_baseline,SHORT_CALL,profit_exit,8,1396.0173730367046
heuristic_policy,LEAP,leap_profit_exit,3,6368.2525634765625
heuristic_policy,LEAP,leap_stop_loss,1,-2185.458755493164
heuristic_policy,SHORT_CALL,expiration,34,6339.591494420654
heuristic_policy,SHORT_CALL,underlying_touch,18,-7232.64977163733
heuristic_policy,SHORT_CALL,profit_exit,7,1260.8973262537284
hmm_v3_1_meta_blend,LEAP,leap_profit_exit,1,2749.522018432617
hmm_v3_1_meta_blend,SHORT_CALL,expiration,42,7567.243318919355
hmm_v3_1_meta_blend,SHORT_CALL,underlying_touch,23,-8704.148479559672
hmm_v3_1_meta_blend,SHORT_CALL,profit_exit,8,1396.0173730367046
hmm_v4_path_aware_meta,LEAP,leap_profit_exit,4,8275.502014160156
hmm_v4_path_aware_meta,LEAP,leap_stop_loss,2,-4158.94775390625
hmm_v4_path_aware_meta,SHORT_CALL,expiration,41,7334.670954147196
hmm_v4_path_aware_meta,SHORT_CALL,underlying_touch,19,-6518.077092284696
hmm_v4_path_aware_meta,SHORT_CALL,profit_exit,8,1396.0173730367046
no_overwrite_baseline,LEAP,leap_profit_exit,4,8275.502014160156
no_overwrite_baseline,LEAP,leap_stop_loss,2,-4158.94775390625
