model_name,leap_contribution,overwrite_contribution,number_of_short_calls_sold,number_of_profit_exits,number_of_loss_exits,number_of_touch_exits,average_short_call_pnl,worst_short_call_loss,worst_leap_drawdown
always_overwrite_baseline,4074.55,-4932.04,68,8,0,19,32.54,-1065.84,-4158.95
heuristic_policy,3441.02,-5363.54,59,7,0,18,6.23,-1175.41,-2991.52
hmm_v3_1_meta_blend,3186.02,-7151.83,73,8,0,23,3.55,-1175.41,-2106.0
hmm_v4_path_aware_meta,4074.55,-4932.04,68,8,0,19,32.54,-1065.84,-4158.95
no_overwrite_baseline,4074.55,0.0,0,0,0,0,0.0,0.0,-4158.95
