model_name,date,spy_close,vix,leap_exposure_pct,leap_daily_pnl,overwrite_daily_pnl,total_daily_pnl,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,2026-03-02,687.422607421875,19.860000610351562,1.0,0.0,0.0,0.0,0.0,0.0
no_overwrite_baseline,2026-03-03,684.1216430664062,21.440000534057617,1.0,-247.57232666015625,0.0,-247.57232666015625,0.0,0.0
no_overwrite_baseline,2026-03-04,684.5106201171875,23.56999969482422,1.0,29.17327880859375,0.0,29.17327880859375,0.0,0.0
no_overwrite_baseline,2026-03-05,678.4771118164062,21.149999618530273,1.0,-452.51312255859375,0.0,-452.51312255859375,0.0,0.0
no_overwrite_baseline,2026-03-06,683.2639770507812,23.75,1.0,359.014892578125,0.0,359.014892578125,0.0,0.0
no_overwrite_baseline,2026-03-09,679.4544067382812,29.489999771118164,1.0,-285.7177734375,0.0,-285.7177734375,0.0,0.0
no_overwrite_baseline,2026-03-10,670.5487060546875,25.5,1.0,-667.9275512695312,0.0,-667.9275512695312,0.0,0.0
no_overwrite_baseline,2026-03-11,676.4227294921875,24.93000030517578,1.0,440.5517578125,0.0,440.5517578125,0.0,0.0
no_overwrite_baseline,2026-03-12,675.3356323242188,24.229999542236328,1.0,-81.53228759765625,0.0,-81.53228759765625,0.0,0.0
no_overwrite_baseline,2026-03-13,674.4879760742188,27.290000915527344,1.0,-63.57421875,0.0,-63.57421875,0.0,0.0
no_overwrite_baseline,2026-03-16,664.2459106445312,27.190000534057617,1.0,-768.1549072265625,0.0,-768.1549072265625,0.0,0.0
no_overwrite_baseline,2026-03-17,660.4862060546875,23.510000228881836,1.0,-281.97784423828125,0.0,-281.97784423828125,0.0,0.0
no_overwrite_baseline,2026-03-18,667.2078857421875,22.3700008392334,1.0,504.1259765625,0.0,504.1259765625,0.0,0.0
no_overwrite_baseline,2026-03-19,668.9630126953125,25.09000015258789,1.0,131.634521484375,0.0,131.634521484375,0.0,0.0
no_overwrite_baseline,2026-03-20,659.6285400390625,24.059999465942383,1.0,-700.08544921875,0.0,-700.08544921875,0.0,0.0
