model_name,entry_date,exit_date,entry_spy,exit_spy,dte,holding_days,strike,entry_premium,exit_option_value,option_pnl,leap_pnl_during_trade,total_trade_pnl,exit_reason,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
always_overwrite_baseline,2026-03-02,2026-03-03,687.422607421875,684.1216430664062,1,2,692.0,1.6269490927122376,0.0,1.6269490927122376,-247.57232666015625,-245.945377567444,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,19.860000610351562,104.1500015258789,0.0,0.0
always_overwrite_baseline,2026-03-04,2026-03-05,684.5106201171875,678.4771118164062,1,2,690.0,1.901372389963882,0.0,1.901372389963882,-452.51312255859375,-450.6117501686299,expiration,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.56999969482422,113.44000244140625,0.0,0.0
always_overwrite_baseline,2026-03-06,2026-03-09,683.2639770507812,679.4544067382812,1,4,688.0,2.152792984934621,0.0,2.152792984934621,-285.7177734375,-283.56498045256535,expiration,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,23.75,106.94000244140625,0.0,0.0
always_overwrite_baseline,2026-03-10,2026-03-11,670.5487060546875,676.4227294921875,1,2,676.0,2.1256750260897945,4.451248815291478,-2.325573789201684,440.5517578125,438.2261840232983,underlying_touch,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,25.5,140.44000244140625,0.0,0.0
always_overwrite_baseline,2026-03-12,2026-03-13,675.3356323242188,674.4879760742188,1,2,680.0,2.206841930138097,0.0,2.206841930138097,-63.57421875,-61.3673768198619,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.65,24.229999542236328,125.36000061035156,0.0,0.0
always_overwrite_baseline,2026-03-16,2026-03-17,664.2459106445312,660.4862060546875,1,2,670.0,2.2474884408201774,0.0,2.2474884408201774,-281.97784423828125,-279.7303557974611,expiration,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,1.65,27.190000534057617,130.17999267578125,0.0,0.0
always_overwrite_baseline,2026-03-18,2026-03-19,667.2078857421875,668.9630126953125,1,2,672.0,1.8435701225053833,0.0,1.8435701225053833,131.634521484375,133.47809160688038,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.3700008392334,116.77999877929688,0.0,0.0
always_overwrite_baseline,2026-03-20,2026-03-23,659.6285400390625,658.0029907226562,1,4,665.0,1.8789461014813469,0.0,1.8789461014813469,-121.91619873046875,-120.0372526289874,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,24.059999465942383,126.5,0.0,0.0
always_overwrite_baseline,2026-03-24,2026-03-25,648.5700073242188,655.3800048828125,1,2,654.0,2.1018129932533327,5.158169946568648,-3.0563569533153156,510.74981689453125,507.6934599412159,underlying_touch,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,26.149999618530273,126.27999877929688,0.0,0.0
always_overwrite_baseline,2026-03-26,2026-03-27,653.1799926757812,656.8200073242188,1,2,658.0,2.198547688207725,0.0,2.198547688207725,273.0010986328125,275.1996463210202,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.65,25.329999923706055,124.13999938964844,0.0,0.0
always_overwrite_baseline,2026-03-30,2026-03-31,645.0900268554688,634.0900268554688,1,2,651.0,2.641621780055459,0.4905345301774702,2.151087249877989,-825.0,-822.848912750122,profit_exit,HIGH_VOL_RISK_OFF,0.45,1.0,normal,2.5,31.049999237060547,124.43000030517578,0.0,0.0
always_overwrite_baseline,2026-04-01,2026-04-02,631.969970703125,650.3400268554688,1,2,637.0,2.0010814961564733,13.755191209528107,-11.754109713371633,1377.7542114257812,1366.0001017124096,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.65,25.25,127.83999633789062,0.0,0.0
always_overwrite_baseline,2026-04-03,2026-04-06,655.239990234375,655.8300170898438,1,4,660.0,2.013287736291261,0.0,2.013287736291261,44.25201416015625,46.26530189644751,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,23.8700008392334,114.83000183105469,0.0,0.0
always_overwrite_baseline,2026-04-07,2026-04-08,658.9299926757812,659.219970703125,1,2,664.0,2.2190673608261022,0.0,2.2190673608261022,21.74835205078125,23.967419411607352,expiration,HIGH_VOL_RISK_OFF,0.45,1.0,normal,1.65,25.780000686645508,113.52999877929688,0.0,0.0
always_overwrite_baseline,2026-04-09,2026-04-10,676.010009765625,679.9099731445312,1,2,680.0,1.7002151866248596,0.0,1.7002151866248596,292.49725341796875,294.1974686045936,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,19.489999771118164,111.06999969482422,0.0,0.0
always_overwrite_baseline,2026-04-13,2026-04-14,679.4600219726562,686.0999755859375,1,2,684.0,1.4940638561950266,4.321202509884813,-2.8271386536897865,497.99652099609375,495.169382342404,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,19.1200008392334,107.30000305175781,0.0,0.0
always_overwrite_baseline,2026-04-15,2026-04-16,694.4600219726562,699.9400024414062,1,2,698.0,1.7177988703389246,4.215855095022391,-2.4980562246834666,410.99853515625,408.50047893156653,underlying_touch,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.170000076293945,95.4000015258789,0.0,0.0
always_overwrite_baseline,2026-04-17,2026-04-20,701.6599731445312,710.1400146484375,1,4,706.0,1.3943289063396662,5.826005864330057,-4.4316769579903905,636.0031127929688,631.5714358349784,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,17.479999542236328,96.80000305175781,0.0,0.0
always_overwrite_baseline,2026-04-21,2026-04-22,708.719970703125,704.0800170898438,1,2,713.0,1.7538385205457985,0.0,1.7538385205457985,-347.99652099609375,-346.24268247554795,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,19.5,98.1500015258789,0.0,0.0
always_overwrite_baseline,2026-04-23,2026-04-24,711.2100219726562,708.4500122070312,1,2,716.0,1.5822177265321784,0.0,1.5822177265321784,-207.000732421875,-205.41851469534282,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,19.309999465942383,98.7300033569336,0.0,0.0
always_overwrite_baseline,2026-04-27,2026-04-28,713.9400024414062,715.1699829101562,1,2,718.0,1.608676310070848,0.0,1.608676310070848,92.24853515625,93.85721146632085,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.020000457763672,97.18000030517578,0.0,0.0
always_overwrite_baseline,2026-04-29,2026-04-30,711.6900024414062,711.5800170898438,1,2,716.0,1.6482513986655931,0.0,1.6482513986655931,-8.2489013671875,-6.600649968521907,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.809999465942383,91.02999877929688,0.0,0.0
always_overwrite_baseline,2026-05-01,2026-05-04,718.6599731445312,720.6500244140625,1,4,723.0,1.382297792546865,0.0,1.382297792546865,149.25384521484375,150.63614300739061,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,16.989999771118164,93.69999694824219,0.0,0.0
always_overwrite_baseline,2026-05-05,2026-05-06,718.010009765625,723.77001953125,1,2,722.0,1.544259154763438,4.122792998242858,-2.57853384347942,432.000732421875,429.4221985783956,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,17.3799991607666,98.29000091552734,0.0,0.0
always_overwrite_baseline,2026-05-07,2026-05-08,733.8300170898438,731.5800170898438,1,2,738.0,1.502020023175362,0.0,1.502020023175362,-168.75,-167.24797997682464,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,17.079999923706055,93.69999694824219,0.0,0.0
always_overwrite_baseline,2026-05-11,2026-05-12,737.6199951171875,739.2999877929688,1,2,742.0,1.6644757752109172,0.0,1.6644757752109172,125.99945068359375,127.66392645880467,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.3799991607666,96.77999877929688,0.0,0.0
always_overwrite_baseline,2026-05-13,2026-05-14,738.1799926757812,742.3099975585938,1,2,742.0,1.7570380818958142,3.3765377501465537,-1.6194996682507394,309.7503662109375,308.13086654268676,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,17.8700008392334,98.55000305175781,0.0,0.0
always_overwrite_baseline,2026-05-15,2026-05-18,748.1699829101562,739.1699829101562,1,4,753.0,1.5821575873268046,0.17227077899936916,1.4098868083274354,-675.0,-673.5901131916726,profit_exit,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,18.43000030517578,94.26000213623047,0.0,0.0
always_overwrite_baseline,2026-05-19,2026-05-20,738.6500244140625,733.72998046875,1,2,743.0,1.6254947148896406,0.0,1.6254947148896406,-369.0032958984375,-367.37780118354783,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,18.059999465942383,91.18000030517578,0.0,0.0
always_overwrite_baseline,2026-05-21,2026-05-22,741.25,742.719970703125,1,2,745.0,1.6058622878826725,0.0,1.6058622878826725,110.247802734375,111.85366502225767,expiration,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.35,16.760000228881836,96.44999694824219,0.0,0.0
always_overwrite_baseline,2026-05-25,2026-05-26,745.6400146484375,750.5900268554688,1,2,750.0,1.4108054148588565,3.510980247742907,-2.1001748328840506,371.25091552734375,369.1507406944597,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,16.59000015258789,91.16000366210938,0.0,0.0
always_overwrite_baseline,2026-05-27,2026-05-28,750.4600219726562,754.5999755859375,1,2,754.0,1.6277696761633251,3.2932947097800707,-1.6655250336167455,310.49652099609375,308.830995962477,underlying_touch,MID_VOL_CHOP,0.45,1.0,normal,1.35,16.290000915527344,87.52999877929688,0.0,0.0
always_overwrite_baseline,2026-05-29,2026-06-01,756.47998046875,758.5399780273438,1,4,760.0,1.4906441652813385,0.0,1.4906441652813385,154.49981689453125,155.9904610598126,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,15.319999694824219,86.05999755859375,0.0,0.0
always_overwrite_baseline,2026-06-02,2026-06-03,759.5700073242188,754.239990234375,1,2,763.0,1.6071740443171905,0.0,1.6071740443171905,-399.75128173828125,-398.1441076939641,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,15.770000457763672,90.52999877929688,0.0,0.0
always_overwrite_baseline,2026-06-04,2026-06-05,757.0900268554688,737.5499877929688,1,2,761.0,1.387304179135299,0.036103711305535136,1.3512004678297638,-1465.5029296875,-1464.1517292196702,profit_exit,MID_VOL_CHOP,0.45,1.0,normal,1.35,15.399999618530273,85.75,0.0,0.0
always_overwrite_baseline,2026-06-08,2026-06-09,739.219970703125,737.0499877929688,1,2,744.0,1.6395821334124037,0.0,1.6395821334124037,-162.74871826171875,-161.10913612830635,expiration,MID_VOL_CHOP,0.45,1.0,normal,1.35,18.920000076293945,92.4000015258789,0.0,0.0
always_overwrite_baseline,2026-06-10,2026-06-11,725.4299926757812,737.760009765625,1,2,731.0,1.8738524548613213,7.936179782089425,-6.062327327228104,924.7512817382812,918.6889544110531,underlying_touch,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.219999313354492,108.16000366210938,0.0,0.0
heuristic_policy,2026-03-02,2026-03-03,687.422607421875,684.1216430664062,1,2,692.0,1.6269490927122376,0.0,1.6269490927122376,-247.57232666015625,-245.945377567444,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,19.860000610351562,104.1500015258789,0.0,0.0
heuristic_policy,2026-03-04,2026-03-05,684.5106201171875,678.4771118164062,1,2,690.0,1.901372389963882,0.0,1.901372389963882,-339.3848419189453,-337.48346952898146,expiration,HIGH_VOL_RISK_OFF,0.45,0.75,normal,1.65,23.56999969482422,113.44000244140625,0.0,0.0
heuristic_policy,2026-03-06,2026-03-09,683.2639770507812,679.4544067382812,1,4,688.0,2.152792984934621,0.0,2.152792984934621,-214.288330078125,-212.13553709319038,expiration,HIGH_VOL_RISK_OFF,0.45,0.75,normal,1.65,23.75,106.94000244140625,0.0,0.0
heuristic_policy,2026-03-10,2026-03-11,670.5487060546875,676.4227294921875,1,2,676.0,2.1256750260897945,4.451248815291478,-2.325573789201684,330.413818359375,328.0882445701733,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,25.5,140.44000244140625,0.0,0.0
heuristic_policy,2026-03-12,2026-03-13,675.3356323242188,674.4879760742188,1,2,680.0,2.206841930138097,0.0,2.206841930138097,-47.6806640625,-45.4738221323619,expiration,MID_VOL_CHOP,0.45,0.75,normal,1.65,24.229999542236328,125.36000061035156,0.0,0.0
heuristic_policy,2026-03-16,2026-03-17,664.2459106445312,660.4862060546875,1,2,670.0,2.2474884408201774,0.0,2.2474884408201774,-211.48338317871094,-209.23589473789076,expiration,VOL_EXPANSION_TRANSITION,0.45,0.75,normal,1.65,27.190000534057617,130.17999267578125,0.0,0.0
heuristic_policy,2026-03-18,2026-03-19,667.2078857421875,668.9630126953125,1,2,672.0,1.8435701225053833,0.0,1.8435701225053833,98.72589111328125,100.56946123578663,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,22.3700008392334,116.77999877929688,0.0,0.0
heuristic_policy,2026-03-20,2026-03-23,659.6285400390625,658.0029907226562,1,4,665.0,1.8789461014813469,0.0,1.8789461014813469,-91.43714904785156,-89.55820294637022,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,24.059999465942383,126.5,0.0,0.0
heuristic_policy,2026-03-24,2026-03-25,648.5700073242188,655.3800048828125,1,2,654.0,2.1018129932533327,5.158169946568648,-3.0563569533153156,383.06236267089844,380.0060057175831,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,26.149999618530273,126.27999877929688,0.0,0.0
heuristic_policy,2026-03-26,2026-03-27,653.1799926757812,656.8200073242188,1,2,658.0,2.198547688207725,0.0,2.198547688207725,204.75082397460938,206.9493716628171,expiration,MID_VOL_CHOP,0.45,0.75,normal,1.65,25.329999923706055,124.13999938964844,0.0,0.0
heuristic_policy,2026-03-30,2026-03-31,645.0900268554688,634.0900268554688,1,2,651.0,2.641621780055459,0.4905345301774702,2.151087249877989,-618.75,-616.598912750122,profit_exit,HIGH_VOL_RISK_OFF,0.45,0.75,normal,2.5,31.049999237060547,124.43000030517578,0.0,0.0
