model_name,total_pnl,leap_pnl,overwrite_pnl,total_return_pct,max_drawdown,worst_day_pnl,worst_trade_pnl,average_daily_pnl,median_daily_pnl,volatility_of_daily_pnl,sharpe_like_score,number_of_overwrites,overwrite_win_rate,average_overwrite_pnl,median_overwrite_pnl,premium_collected,premium_retained_pct,average_premium_collected,average_premium_lost_on_loss_exit,number_profit_exits,number_loss_exits,number_underlying_touch_exits,number_expirations,average_holding_days,tail_loss_1pct,tail_loss_5pct,catastrophic_trade_count,average_loss_when_model_missed_risk,dollar_missed_risk_score,leap_exposure_avg,leap_exposure_days_full,leap_exposure_days_reduced,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,4074.554443359375,4074.554443359375,0.0,0.0,-4158.94775390625,-1465.5029296875,0.0,54.327392578125,92.24853515625,481.6232300225271,0.11280060676388871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-1032.044677734375,-785.2084350585938,0,0.0,0.0,1.0,75,0,0.0,0.0
always_overwrite_baseline,4040.349145905621,4074.554443359375,-34.20529745375529,0.0,-4161.421436426364,-1464.1517292196702,-1464.1517292196702,53.871321945408276,91.8648542010954,480.5256731066424,0.11210914413193629,37,0.7027027027027027,0.1376436609556852,1.6071740443171905,65.75918340447004,0.6997013355543584,1.777275227147839,0.0,3,0,11,23,2.3783783783783785,-1031.6933656127392,-784.5631088836303,11,0.0,0.0,1.0,75,0,0.0,0.0
hmm_v4_path_aware_meta,4040.349145905621,4074.554443359375,-34.20529745375529,0.0,-4161.421436426364,-1464.1517292196702,-1464.1517292196702,53.871321945408276,91.8648542010954,480.5256731066424,0.11210914413193629,37,0.7027027027027027,0.1376436609556852,1.6071740443171905,65.75918340447004,0.6997013355543584,1.777275227147839,0.0,3,0,11,23,2.3783783783783785,-1031.6933656127392,-784.5631088836303,11,-3.7199066361555784,-40.918972997711364,1.0,75,0,0.0,0.0
heuristic_policy,2802.128706216127,2838.5868072509766,-36.45810103484983,0.0,-3183.5775796148396,-1465.5029296875,-652.1223255393181,37.36171608288169,77.252197265625,381.92729332069973,0.09782415851466658,33,0.696969696969697,0.03297554791647797,1.6482513986655931,60.34833223651739,0.7061536020207714,1.8287373405005272,0.0,2,0,10,21,2.3636363636363638,-869.2911987304688,-588.2610001189819,7,-4.152699910351925,-41.526999103519245,0.7933333333333333,13,62,3316.4810180664062,4537.165832519531
hmm_v3_1_meta_blend,2057.711740510112,2091.917037963867,-34.20529745375529,0.0,-2086.3638373105,-1464.1517292196702,-1464.1517292196702,27.436156540134828,0.0,325.0234153339002,0.08441286149168471,37,0.7027027027027027,0.1376436609556852,1.6071740443171905,65.75918340447004,0.6997013355543584,1.777275227147839,0.0,3,0,11,23,2.3783783783783785,-879.136133358952,-388.44292928804833,9,-3.719906636155568,-40.91897299771125,0.6866666666666666,35,40,6581.54296875,7766.255187988281
