model_name,entry_date,exit_date,predicted_regime,brace_for_impact_score,total_trade_pnl,safer_reference_trade_pnl,dollar_missed_risk
heuristic_policy,2026-03-03,2026-03-04,VOL_EXPANSION_TRANSITION,0.45,-45.07,0.0,-45.07
heuristic_policy,2026-03-05,2026-03-06,STABLE_LOW_VOL_TREND,0.45,-241.31,0.0,-241.31
heuristic_policy,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.45,-232.56,0.0,-232.56
heuristic_policy,2026-03-17,2026-03-18,STABLE_LOW_VOL_TREND,0.45,-288.61,0.0,-288.61
heuristic_policy,2026-03-18,2026-03-19,STABLE_LOW_VOL_TREND,0.45,-103.8,0.0,-103.8
heuristic_policy,2026-03-26,2026-03-27,MID_VOL_CHOP,0.45,-176.93,0.0,-176.93
heuristic_policy,2026-04-01,2026-04-02,MID_VOL_CHOP,0.45,-1175.41,0.0,-1175.41
heuristic_policy,2026-04-02,2026-04-03,STABLE_LOW_VOL_TREND,0.45,-193.41,0.0,-193.41
heuristic_policy,2026-04-06,2026-04-07,MID_VOL_CHOP,0.45,-138.56,0.0,-138.56
heuristic_policy,2026-04-08,2026-04-09,MID_VOL_CHOP,0.45,-1065.84,0.0,-1065.84
heuristic_policy,2026-04-09,2026-04-10,STABLE_LOW_VOL_TREND,0.45,-154.1,0.0,-154.1
heuristic_policy,2026-04-13,2026-04-14,MID_VOL_CHOP,0.45,-282.71,0.0,-282.71
heuristic_policy,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.45,-249.81,0.0,-249.81
heuristic_policy,2026-04-16,2026-04-17,STABLE_LOW_VOL_TREND,0.45,-51.7,0.0,-51.7
heuristic_policy,2026-04-17,2026-04-20,MID_VOL_CHOP,0.45,-443.17,0.0,-443.17
heuristic_policy,2026-04-22,2026-04-23,STABLE_LOW_VOL_TREND,0.45,-352.91,0.0,-352.91
heuristic_policy,2026-04-24,2026-04-27,MID_VOL_CHOP,0.45,-217.47,0.0,-217.47
heuristic_policy,2026-05-05,2026-05-06,MID_VOL_CHOP,0.45,-257.85,0.0,-257.85
heuristic_policy,2026-05-06,2026-05-07,STABLE_LOW_VOL_TREND,0.45,-538.12,0.0,-538.12
heuristic_policy,2026-05-08,2026-05-11,MID_VOL_CHOP,0.45,-283.64,0.0,-283.64
