comparison_model,horizon,total_disagreements,v3_win_rate,v3_loss_rate,tie_rate,v3_bucket_win_rate,v3_bucket_loss_rate,downgrade_count,upgrade_count,downgrade_success_rate,upgrade_success_rate,false_suppression_rate,false_alarm_filter_success_rate
heuristic,1,1007,0.35054617676266137,0.5372393247269116,0.11221449851042702,0.4538232373386296,0.4955312810327706,957,50,0.3426017874875869,0.007944389275074478,0.4955312810327706,0.2959285004965243
heuristic,2,1007,0.3872889771598808,0.5660377358490566,0.04667328699106256,0.4270109235352532,0.5213505461767627,957,50,0.38232373386295926,0.004965243296921549,0.5213505461767627,0.2711022840119166
heuristic,3,1007,0.3912611717974181,0.5710029791459782,0.03773584905660377,0.41906653426017876,0.5283018867924528,957,50,0.3843098311817279,0.006951340615690168,0.5283018867924528,0.2701092353525323
hmm_v1_core,1,463,0.38228941684665224,0.5853131749460043,0.032397408207343416,0.2678185745140389,0.38228941684665224,340,123,0.22462203023758098,0.15766738660907129,0.30885529157667385,0.14254859611231102
hmm_v1_core,2,463,0.38876889848812096,0.5831533477321814,0.028077753779697623,0.24190064794816415,0.4060475161987041,340,123,0.23758099352051837,0.1511879049676026,0.3369330453563715,0.11663066954643629
hmm_v1_core,3,463,0.3693304535637149,0.6025917926565875,0.028077753779697623,0.22462203023758098,0.42332613390928725,340,123,0.23110151187904968,0.13822894168466524,0.3542116630669546,0.11231101511879049
hmm_v2_core_plus_sector_corr,1,429,0.3916083916083916,0.5944055944055944,0.013986013986013986,0.2494172494172494,0.38694638694638694,298,131,0.19347319347319347,0.19813519813519814,0.31002331002331,0.11888111888111888
hmm_v2_core_plus_sector_corr,2,429,0.40326340326340326,0.585081585081585,0.011655011655011656,0.23543123543123542,0.40093240093240096,298,131,0.22144522144522144,0.18181818181818182,0.32867132867132864,0.10955710955710955
hmm_v2_core_plus_sector_corr,3,429,0.3986013986013986,0.5990675990675991,0.002331002331002331,0.2097902097902098,0.42657342657342656,298,131,0.21678321678321677,0.18181818181818182,0.34965034965034963,0.1048951048951049
