model_name,total_pnl,leap_pnl,overwrite_pnl,total_return_pct,max_drawdown,worst_day_pnl,worst_trade_pnl,average_daily_pnl,median_daily_pnl,volatility_of_daily_pnl,sharpe_like_score,number_of_overwrites,overwrite_win_rate,average_overwrite_pnl,median_overwrite_pnl,premium_collected,premium_retained_pct,average_premium_collected,average_premium_lost_on_loss_exit,number_profit_exits,number_loss_exits,number_underlying_touch_exits,number_expirations,average_holding_days,tail_loss_1pct,tail_loss_5pct,catastrophic_trade_count,average_loss_when_model_missed_risk,dollar_missed_risk_score,leap_exposure_avg,leap_exposure_days_full,leap_exposure_days_reduced,leap_exit_profit_count,leap_exit_stop_count,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,22552.93,22552.93,0.0,0.0,-8498.46,-2329.8,-3975.83,35.24,45.68,421.18,0.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-1137.68,-675.22,5,0.0,0.0,0.97,620,20,15,5,7981.45,15731.34
heuristic_policy,5628.11,24938.97,-19310.84,0.0,-10493.23,-1782.57,-4431.19,8.79,19.52,275.09,0.03,267,0.7490636704119851,8.8,138.87,42467.0,0.73,159.05,-164.82,50,4,63,150,0.0,-748.99,-428.64,59,-428.51,-28709.98,0.87,363,277,17,5,24642.96,28884.18
always_overwrite_baseline,-26366.0,22552.93,-48918.76,0.0,-27774.28,-2023.64,-4431.19,-41.2,24.46,255.51,-0.16,619,0.6946688206785138,-4.61,106.91,79723.0,0.69,128.79,-135.94,67,10,179,363,0.0,-923.8,-534.16,121,0.0,0.0,0.97,620,20,15,5,7981.45,15731.34
hmm_v4_path_aware_meta,-26366.0,22552.93,-48918.76,0.0,-27774.28,-2023.64,-4431.19,-41.2,24.46,255.51,-0.16,619,0.6946688206785138,-4.61,106.91,79723.0,0.69,128.79,-135.94,67,10,179,363,0.0,-923.8,-534.16,121,-307.34,-58087.2,0.97,620,20,15,5,7981.45,15731.34
hmm_v3_1_meta_blend,-29582.66,20511.54,-50094.02,0.0,-30070.6,-4431.19,-4431.19,-46.22,5.3,262.31,-0.18,627,0.6953748006379585,-3.64,107.12,81401.0,0.7,129.83,-134.89,65,11,180,371,0.0,-763.89,-431.95,117,-308.22,-58869.58,0.8,442,198,11,1,36848.06,43376.61
