model_name,entry_date,exit_date,predicted_regime,brace_for_impact_score,total_trade_pnl,safer_reference_trade_pnl,dollar_missed_risk
heuristic_policy,2024-09-03,2024-09-04,VOL_EXPANSION_TRANSITION,0.45,-666.37,0.0,-666.37
heuristic_policy,2024-09-06,2024-09-09,MID_VOL_CHOP,0.45,-497.85,0.0,-497.85
heuristic_policy,2024-10-02,2024-10-03,STABLE_LOW_VOL_TREND,0.45,-299.68,0.0,-299.68
heuristic_policy,2024-10-04,2024-10-07,STABLE_LOW_VOL_TREND,0.45,-277.74,0.0,-277.74
heuristic_policy,2024-10-07,2024-10-08,STABLE_LOW_VOL_TREND,0.45,-201.07,0.0,-201.07
heuristic_policy,2024-10-29,2024-10-30,MID_VOL_CHOP,0.45,-282.79,0.0,-282.79
heuristic_policy,2024-10-31,2024-11-01,STABLE_LOW_VOL_TREND,0.45,-215.08,0.0,-215.08
heuristic_policy,2024-11-01,2024-11-04,STABLE_LOW_VOL_TREND,0.45,-156.66,0.0,-156.66
heuristic_policy,2024-11-06,2024-11-07,STABLE_LOW_VOL_TREND,0.45,-214.21,0.0,-214.21
heuristic_policy,2024-11-28,2024-11-29,VOL_EXPANSION_TRANSITION,0.45,-294.22,0.0,-294.22
heuristic_policy,2025-01-13,2025-01-14,MID_VOL_CHOP,0.45,-337.08,0.0,-337.08
heuristic_policy,2025-02-20,2025-02-21,STABLE_LOW_VOL_TREND,0.45,-158.05,0.0,-158.05
heuristic_policy,2025-03-17,2025-03-18,STABLE_LOW_VOL_TREND,0.45,-542.43,0.0,-542.43
heuristic_policy,2025-03-20,2025-03-21,STABLE_LOW_VOL_TREND,0.45,-308.72,0.0,-308.72
heuristic_policy,2025-03-24,2025-03-25,VOL_EXPANSION_TRANSITION,0.45,-179.87,0.0,-179.87
heuristic_policy,2025-04-01,2025-04-02,STABLE_LOW_VOL_TREND,0.45,-205.92,0.0,-205.92
heuristic_policy,2025-04-03,2025-04-04,STABLE_LOW_VOL_TREND,0.45,-301.54,0.0,-301.54
heuristic_policy,2025-04-08,2025-04-09,MID_VOL_CHOP,0.45,-589.16,0.0,-589.16
heuristic_policy,2025-04-15,2025-04-16,VOL_EXPANSION_TRANSITION,0.45,-144.83,0.0,-144.83
heuristic_policy,2025-04-17,2025-04-18,VOL_EXPANSION_TRANSITION,0.45,-265.94,0.0,-265.94
heuristic_policy,2025-04-24,2025-04-25,VOL_EXPANSION_TRANSITION,0.45,-4431.19,0.0,-4431.19
heuristic_policy,2025-04-28,2025-04-29,HIGH_VOL_RISK_OFF,0.45,-330.92,0.0,-330.92
heuristic_policy,2025-04-29,2025-04-30,HIGH_VOL_RISK_OFF,0.45,-198.26,0.0,-198.26
heuristic_policy,2025-05-07,2025-05-08,HIGH_VOL_RISK_OFF,0.45,-359.17,0.0,-359.17
heuristic_policy,2025-05-08,2025-05-09,VOL_EXPANSION_TRANSITION,0.45,-586.66,0.0,-586.66
heuristic_policy,2025-05-16,2025-05-19,VOL_EXPANSION_TRANSITION,0.45,-432.93,0.0,-432.93
heuristic_policy,2025-05-26,2025-05-27,MID_VOL_CHOP,0.45,-1406.3,0.0,-1406.3
heuristic_policy,2025-05-30,2025-06-02,STABLE_LOW_VOL_TREND,0.45,-167.52,0.0,-167.52
heuristic_policy,2025-06-09,2025-06-10,STABLE_LOW_VOL_TREND,0.45,-749.91,0.0,-749.91
heuristic_policy,2025-06-16,2025-06-17,STABLE_LOW_VOL_TREND,0.45,-139.89,0.0,-139.89
heuristic_policy,2025-06-27,2025-06-30,STABLE_LOW_VOL_TREND,0.45,-288.96,0.0,-288.96
heuristic_policy,2025-07-03,2025-07-04,MID_VOL_CHOP,0.45,-234.18,0.0,-234.18
heuristic_policy,2025-07-04,2025-07-07,STABLE_LOW_VOL_TREND,0.45,-335.62,0.0,-335.62
heuristic_policy,2025-08-13,2025-08-14,STABLE_LOW_VOL_TREND,0.45,-533.03,0.0,-533.03
heuristic_policy,2025-10-21,2025-10-22,STABLE_LOW_VOL_TREND,0.45,-583.73,0.0,-583.73
heuristic_policy,2025-10-23,2025-10-24,MID_VOL_CHOP,0.45,-183.09,0.0,-183.09
heuristic_policy,2025-10-28,2025-10-29,STABLE_LOW_VOL_TREND,0.45,-341.77,0.0,-341.77
heuristic_policy,2025-10-31,2025-11-03,STABLE_LOW_VOL_TREND,0.45,-139.64,0.0,-139.64
heuristic_policy,2025-11-18,2025-11-19,MID_VOL_CHOP,0.45,-589.29,0.0,-589.29
heuristic_policy,2025-12-01,2025-12-02,STABLE_LOW_VOL_TREND,0.45,-227.12,0.0,-227.12
heuristic_policy,2025-12-02,2025-12-03,STABLE_LOW_VOL_TREND,0.45,-462.42,0.0,-462.42
heuristic_policy,2025-12-03,2025-12-04,STABLE_LOW_VOL_TREND,0.45,-263.13,0.0,-263.13
heuristic_policy,2025-12-04,2025-12-05,STABLE_LOW_VOL_TREND,0.45,-181.73,0.0,-181.73
heuristic_policy,2026-02-10,2026-02-11,STABLE_LOW_VOL_TREND,0.45,-742.85,0.0,-742.85
heuristic_policy,2026-02-23,2026-02-24,MID_VOL_CHOP,0.45,-236.35,0.0,-236.35
heuristic_policy,2026-02-25,2026-02-26,STABLE_LOW_VOL_TREND,0.45,-174.94,0.0,-174.94
heuristic_policy,2026-02-26,2026-02-27,STABLE_LOW_VOL_TREND,0.45,-283.84,0.0,-283.84
heuristic_policy,2026-03-05,2026-03-06,STABLE_LOW_VOL_TREND,0.45,-241.31,0.0,-241.31
heuristic_policy,2026-03-10,2026-03-11,STABLE_LOW_VOL_TREND,0.45,-232.56,0.0,-232.56
heuristic_policy,2026-03-17,2026-03-18,STABLE_LOW_VOL_TREND,0.45,-288.61,0.0,-288.61
heuristic_policy,2026-03-24,2026-03-25,STABLE_LOW_VOL_TREND,0.45,-305.64,0.0,-305.64
heuristic_policy,2026-04-01,2026-04-02,MID_VOL_CHOP,0.45,-1175.41,0.0,-1175.41
heuristic_policy,2026-04-02,2026-04-03,STABLE_LOW_VOL_TREND,0.45,-193.41,0.0,-193.41
heuristic_policy,2026-04-08,2026-04-09,MID_VOL_CHOP,0.45,-1065.84,0.0,-1065.84
heuristic_policy,2026-04-13,2026-04-14,MID_VOL_CHOP,0.45,-282.71,0.0,-282.71
heuristic_policy,2026-04-14,2026-04-15,STABLE_LOW_VOL_TREND,0.45,-428.04,0.0,-428.04
heuristic_policy,2026-04-15,2026-04-16,STABLE_LOW_VOL_TREND,0.45,-249.81,0.0,-249.81
heuristic_policy,2026-04-17,2026-04-20,MID_VOL_CHOP,0.45,-443.17,0.0,-443.17
heuristic_policy,2026-04-22,2026-04-23,STABLE_LOW_VOL_TREND,0.45,-352.91,0.0,-352.91
heuristic_policy,2026-04-24,2026-04-27,MID_VOL_CHOP,0.45,-217.47,0.0,-217.47
heuristic_policy,2026-05-05,2026-05-06,MID_VOL_CHOP,0.45,-257.85,0.0,-257.85
heuristic_policy,2026-05-06,2026-05-07,STABLE_LOW_VOL_TREND,0.45,-538.12,0.0,-538.12
heuristic_policy,2026-05-08,2026-05-11,MID_VOL_CHOP,0.45,-283.64,0.0,-283.64
heuristic_policy,2026-05-13,2026-05-14,MID_VOL_CHOP,0.45,-161.95,0.0,-161.95
heuristic_policy,2026-05-14,2026-05-15,STABLE_LOW_VOL_TREND,0.45,-294.01,0.0,-294.01
heuristic_policy,2026-05-20,2026-05-21,STABLE_LOW_VOL_TREND,0.45,-347.64,0.0,-347.64
heuristic_policy,2026-06-10,2026-06-11,STABLE_LOW_VOL_TREND,0.45,-606.23,0.0,-606.23
hmm_v3_1_meta_blend,2024-01-05,2024-01-08,MID_VOL_CHOP,0.105893,-74.61,0.0,-74.61
hmm_v3_1_meta_blend,2024-01-08,2024-01-09,MID_VOL_CHOP,0.106151,-127.17,0.0,-127.17
hmm_v3_1_meta_blend,2024-01-12,2024-01-15,STABLE_LOW_VOL_TREND,0.087856,-142.54,0.0,-142.54
hmm_v3_1_meta_blend,2024-01-15,2024-01-16,STABLE_LOW_VOL_TREND,0.085441,-79.81,0.0,-79.81
hmm_v3_1_meta_blend,2024-01-17,2024-01-18,STABLE_LOW_VOL_TREND,0.066429,-76.75,0.0,-76.75
hmm_v3_1_meta_blend,2024-01-18,2024-01-19,STABLE_LOW_VOL_TREND,0.067843,-371.5,0.0,-371.5
hmm_v3_1_meta_blend,2024-01-23,2024-01-24,STABLE_LOW_VOL_TREND,0.0475,-102.35,0.0,-102.35
hmm_v3_1_meta_blend,2024-01-24,2024-01-25,STABLE_LOW_VOL_TREND,0.048913,-144.54,0.0,-144.54
hmm_v3_1_meta_blend,2024-01-26,2024-01-29,MID_VOL_CHOP,0.123589,-205.45,0.0,-205.45
hmm_v3_1_meta_blend,2024-02-09,2024-02-12,STABLE_LOW_VOL_TREND,0.088164,-421.94,0.0,-421.94
hmm_v3_1_meta_blend,2024-02-13,2024-02-14,STABLE_LOW_VOL_TREND,0.093854,-114.01,0.0,-114.01
hmm_v3_1_meta_blend,2024-02-20,2024-02-21,STABLE_LOW_VOL_TREND,0.092312,-184.22,0.0,-184.22
hmm_v3_1_meta_blend,2024-02-21,2024-02-22,STABLE_LOW_VOL_TREND,0.087723,-322.25,0.0,-322.25
hmm_v3_1_meta_blend,2024-02-27,2024-02-28,STABLE_LOW_VOL_TREND,0.041681,-118.51,0.0,-118.51
hmm_v3_1_meta_blend,2024-02-29,2024-03-01,STABLE_LOW_VOL_TREND,0.040427,-193.68,0.0,-193.68
hmm_v3_1_meta_blend,2024-03-05,2024-03-06,MID_VOL_CHOP,0.143756,-363.22,0.0,-363.22
hmm_v3_1_meta_blend,2024-03-06,2024-03-07,MID_VOL_CHOP,0.15056,-276.89,0.0,-276.89
hmm_v3_1_meta_blend,2024-03-11,2024-03-12,STABLE_LOW_VOL_TREND,0.053931,-190.99,0.0,-190.99
hmm_v3_1_meta_blend,2024-03-13,2024-03-14,STABLE_LOW_VOL_TREND,0.051967,-135.4,0.0,-135.4
hmm_v3_1_meta_blend,2024-03-18,2024-03-19,MID_VOL_CHOP,0.167655,-216.47,0.0,-216.47
