model_name,total_pnl,leap_pnl,overwrite_pnl,total_return_pct,max_drawdown,worst_day_pnl,worst_trade_pnl,average_daily_pnl,median_daily_pnl,volatility_of_daily_pnl,sharpe_like_score,number_of_overwrites,overwrite_win_rate,average_overwrite_pnl,median_overwrite_pnl,premium_collected,premium_retained_pct,average_premium_collected,average_premium_lost_on_loss_exit,number_profit_exits,number_loss_exits,number_underlying_touch_exits,number_expirations,average_holding_days,tail_loss_1pct,tail_loss_5pct,catastrophic_trade_count,average_loss_when_model_missed_risk,dollar_missed_risk_score,leap_exposure_avg,leap_exposure_days_full,leap_exposure_days_reduced,leap_exit_profit_count,leap_exit_stop_count,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
no_overwrite_baseline,4074.554443359375,4074.554443359375,0.0,0.0,-4158.94775390625,-1465.5029296875,-2138.7176513671875,54.327392578125,92.24853515625,481.6232300225271,0.11280060676388871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-1032.044677734375,-785.2084350585938,2,0.0,0.0,0.92,69,6,4,2,587.97607421875,1935.992431640625
always_overwrite_baseline,-857.465245018318,4074.554443359375,-4932.0196883776935,0.0,-3502.0915098085247,-1330.3828829045237,-2138.7176513671875,-11.432869933577573,45.996981741538434,339.7537574015241,-0.03365045914728796,68,0.7205882352941176,32.53840051322361,161.63343796034155,12176.306708100688,0.7170227012576419,179.06333394265718,0.0,8,0,19,41,0.0,-879.6316931756551,-584.3545976997225,18,0.0,0.0,0.92,69,6,4,2,587.97607421875,1935.992431640625
hmm_v4_path_aware_meta,-857.465245018318,4074.554443359375,-4932.0196883776935,0.0,-3502.0915098085247,-1330.3828829045237,-2138.7176513671875,-11.432869933577573,45.996981741538434,339.7537574015241,-0.03365045914728796,68,0.7205882352941176,32.53840051322361,161.63343796034155,12176.306708100688,0.7170227012576419,179.06333394265718,0.0,8,0,19,41,0.0,-879.6316931756551,-584.3545976997225,18,-343.05668906761565,-6518.077092284697,0.92,69,6,4,2,587.97607421875,1935.992431640625
heuristic_policy,-1922.4948830333315,3441.0415649414062,-5363.536447974738,0.0,-2459.7342391962084,-1465.5029296875,-2185.458755493164,-25.633265107111086,26.75094090367338,263.41282880539393,-0.0973121363274551,59,0.6949152542372882,6.234560153170378,164.8251398665593,10944.417524011335,0.6944626156667916,185.49860210188703,0.0,7,0,18,34,0.0,-753.5354730882523,-400.9182797204572,17,-401.81387620207386,-7232.64977163733,0.7566666666666667,14,61,3,1,4020.7046508789062,5858.9080810546875
hmm_v3_1_meta_blend,-3965.790748471309,3186.020278930664,-7151.811027401973,0.0,-3986.4738368602393,-1330.3828829045237,-1175.4109713371633,-52.877209979617454,2.7058729969759554,271.1956689207975,-0.19497807686250404,73,0.684931506849315,3.5494823615943596,160.71740443171905,13146.681920259643,0.6817888153316666,180.0915331542417,0.0,8,0,23,42,0.0,-1215.703668344677,-361.4723149959635,20,-378.4412382417249,-8704.148479559672,0.6733333333333333,34,41,1,0,6581.54296875,8772.254943847656
