model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
heuristic_policy,LEAP,2026-03-02,2026-03-24,100.0,78.14541244506836,100,-2185.458755493164,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61282348632812,100,-2138.7176513671875,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2026-03-18,2026-04-01,100.0,78.61282348632812,100,-2138.7176513671875,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2026-03-18,2026-04-01,100.0,78.61282348632812,100,-2138.7176513671875,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.79769897460938,100,-2020.2301025390625,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2026-03-02,2026-03-17,100.0,79.79769897460938,100,-2020.2301025390625,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2026-03-02,2026-03-17,100.0,79.79769897460938,100,-2020.2301025390625,leap_stop_loss,,,,,,,,,,,
heuristic_policy,SHORT_CALL,2026-04-01,2026-04-02,2.0010814961564733,13.755191209528107,100,-1175.4109713371633,underlying_touch,637.0,1.0,MID_VOL_CHOP,0.45,0.75,normal,1.65,25.25,127.83999633789062,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-01,2026-04-02,2.0010814961564733,13.755191209528107,100,-1175.4109713371633,underlying_touch,637.0,1.0,HIGH_VOL_RISK_OFF,0.933198,0.0,aggressive,1.8,25.25,127.83999633789062,0.0,0.0
heuristic_policy,SHORT_CALL,2026-04-08,2026-04-09,1.6155061002170328,12.273900609396378,100,-1065.8394509179345,underlying_touch,664.0,1.0,MID_VOL_CHOP,0.45,0.75,normal,1.65,21.040000915527344,117.30000305175781,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-04-08,2026-04-09,1.6155061002170328,12.273900609396378,100,-1065.8394509179345,underlying_touch,664.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,21.040000915527344,117.30000305175781,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-04-08,2026-04-09,1.6155061002170328,12.273900609396378,100,-1065.8394509179345,underlying_touch,664.0,1.0,MID_VOL_CHOP,0.45,1.0,normal,1.65,21.040000915527344,117.30000305175781,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-08,2026-04-09,1.6155061002170328,12.273900609396378,100,-1065.8394509179345,underlying_touch,664.0,1.0,HIGH_VOL_RISK_OFF,0.931128,0.0,aggressive,1.8,21.040000915527344,117.30000305175781,0.0,0.0
heuristic_policy,SHORT_CALL,2026-06-10,2026-06-11,1.8738524548613213,7.936179782089425,100,-606.2327327228104,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,22.219999313354492,108.16000366210938,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-06-10,2026-06-11,1.8738524548613213,7.936179782089425,100,-606.2327327228104,underlying_touch,731.0,1.0,VOL_EXPANSION_TRANSITION,0.652757,0.5,aggressive,1.8,22.219999313354492,108.16000366210938,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2026-06-10,2026-06-11,1.8738524548613213,7.936179782089425,100,-606.2327327228104,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.45,1.0,normal,1.65,22.219999313354492,108.16000366210938,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-06-10,2026-06-11,1.8738524548613213,7.936179782089425,100,-606.2327327228104,underlying_touch,731.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.5,22.219999313354492,108.16000366210938,0.0,0.0
heuristic_policy,SHORT_CALL,2026-05-06,2026-05-07,1.4958557918681379,6.877045265100037,100,-538.1189473231899,underlying_touch,728.0,1.0,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.389999389648438,95.26000213623047,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-06,2026-05-07,1.4958557918681379,6.877045265100037,100,-538.1189473231899,underlying_touch,728.0,1.0,MID_VOL_CHOP,0.271616,1.0,conservative,1.2,17.389999389648438,95.26000213623047,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2026-05-06,2026-05-07,1.4958557918681379,6.877045265100037,100,-538.1189473231899,underlying_touch,728.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,1.2,17.389999389648438,95.26000213623047,0.0,0.0
